Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
33	0.02575	0.028011414179585945	0.027996209127461542	0.02368798828125	0.02575	1.944315696434841e-08	1.4447369951764433e-07	2.236129947527643e-08
34	0.0265	0.02887714992626827	0.02887839920903328	0.024300292968749998	0.0265	2.4307477046168302e-08	1.810370881399903e-07	2.8676016866624465e-08
35	0.02725	0.029745566173510884	0.02976433833642565	0.024908203125	0.02725	3.021600277892255e-08	2.2559748425951542e-07	3.6548491545718154e-08
36	0.027999999999999997	0.030652730693867408	0.03065718734430408	0.0255390625	0.028	3.7660670649395196e-08	2.8195308530987173e-07	4.669428393250241e-08
37	0.02875	0.03156506389420481	0.03155416633228557	0.0261669921875	0.02875	4.670765834168097e-08	3.507287961723726e-07	5.934780118038718e-08
38	0.0295	0.03248260815710116	0.03245529424949013	0.0267919921875	0.0295	5.7659756432688414e-08	4.3438696425979195e-07	7.507200438378048e-08
39	0.03025	0.033325570333517865	0.033353063203754335	0.027354980468749998	0.03025	6.97253023838959e-08	5.270387772315921e-07	9.298964806503385e-08
40	0.031	0.034251030047078516	0.03426211838439562	0.02797265625	0.031	8.534809380646001e-08	6.477315457123489e-07	1.166487257897586e-07
41	0.03175	0.03518179621007197	0.035175368099281415	0.02858740234375	0.03175	1.0408061728849056e-07	7.935127907601758e-07	1.4583209038271372e-07
42	0.0325	0.036117916804716925	0.03609283379027897	0.029199218750000002	0.0325	1.2648851599841688e-07	9.694149840366872e-07	1.8179897681713797e-07
43	0.03325	0.03696885012740543	0.03700520362196811	0.0297431640625	0.03325	1.506866077591563e-07	1.161288252754522e-06	2.2219754552271764e-07
44	0.034	0.03791302842169219	0.037930676866770936	0.03034765625	0.034	1.8202265924648674e-07	1.4126951176571256e-06	2.758883901748943e-07
45	0.03475	0.03886267541644446	0.038860419659365215	0.030949218750000004	0.03475	2.1934365169457711e-07	1.7166648119265604e-06	3.42339512932055e-07
46	0.0355	0.03981784969192739	0.039794457632092876	0.03154785156249999	0.0355	2.637917898354525e-07	2.0855060829522154e-06	4.2502460428223143e-07
47	0.03625	0.04072759967848668	0.040727118723849494	0.032108154296875	0.03625	3.1399959790356763e-07	2.5119051487235144e-06	5.236537018449283e-07
48	0.037000000000000005	0.04164004281747779	0.04166357378227235	0.0326640625	0.037	3.7333741284422113e-07	3.0304373693015862e-06	6.473446963126128e-07
49	0.03775	0.042609180098329334	0.042610095531791806	0.03325244140625	0.03775	4.4779646493312004e-07	3.705811077128751e-06	8.137745811653829e-07
50	0.0385	0.04358411108150094	0.04356102749426861	0.03383789062499999	0.0385	5.376852079107463e-07	4.563519182057552e-06	1.034670602202692e-06
51	0.03925	0.04450786040709459	0.04450954664255221	0.034382080078125	0.03925	6.410743783869084e-07	5.61819958817128e-06	1.321950162648522e-06
52	0.04	0.045434534936967225	0.04546196372387273	0.034921875000000005	0.04	7.675572695736133e-07	7.02326013462401e-06	1.7287723542355748e-06
53	0.04075	0.046424632916166074	0.04642589207300115	0.035497070312500004	0.04075	9.358724941457919e-07	9.112274744906002e-06	2.376077994678538e-06
54	0.0415	0.047421576002209635	0.0473946721634171	0.0360693359375	0.0415	1.1570403556871433e-06	1.227435163854429e-05	3.434855435073547e-06
55	0.04225	0.048362516997429314	0.048360423298451166	0.036597412109375005	0.04225	1.442916386105452e-06	1.7073011695262208e-05	5.170514426090789e-06
56	0.043	0.04930930283914	0.049331358946418054	0.03712109375	0.043	1.8531615464798414e-06	2.5169059455633358e-05	8.300786575078656e-06
57	0.04375	0.050332861600442716	0.0503181998384353	0.03768310546875	0.04375	2.527436680204061e-06	4.0709615263812005e-05	1.466247301799839e-05
