	x	y	T	K	G_plusfac	yhat	G	G_fit	K	H	cp
98	13	11	305	2.6531183154988603e+25	-51.97348648635091	-54.18365416919378	-56.3301953130405	-58.54036299588337	2.6531183154988603e+25	69.66437073332389	-7.094526630201154
99	13	12	305	8.530143535014366e+25	-54.578083477351555	-57.143284155834195	-57.14303283481309	-59.70823351329573	8.530143535014366e+25	65.5900534269932	-7.307188268423303
100	13	13	305	1.2657966978743217e+26	-59.25102627842137	-60.10291414247461	-59.25102627842137	-60.10291414247461	1.2657966978743217e+26	61.515736120662474	-7.519849906645454
101	14	0	305	36630717344.30012	-29.474740324087314	-24.324152997064356	-29.474740324087314	-24.324152997064356	36630717344.30012	119.157263959242	-5.05761191176339
102	14	1	305	9892918492407.377	-31.481168717638607	-27.283782983704775	-34.120226047253865	-29.922840313320034	9892918492407.377	115.08294665291129	-5.27027354998554
103	14	2	305	1240477122663886.5	-33.91769428487466	-30.243412970345194	-38.428553791391515	-34.75427247686204	1240477122663886.5	111.00862934658058	-5.482935188207691
104	14	3	305	9.571934591602946e+16	-36.20170299229577	-33.203042956985605	-42.09885685993251	-39.100196824622344	9.571934591602946e+16	106.93431204024986	-5.69559682642984
105	14	4	305	5.077891158125933e+18	-38.5304578030232	-36.16267294362603	-45.43921258233842	-43.07142772294125	5.077891158125933e+18	102.85999473391917	-5.908258464651991
106	14	5	305	1.9591349627021738e+20	-41.02241213021286	-39.12230293026644	-48.62431409008802	-46.72420489014161	1.9591349627021738e+20	98.78567742758844	-6.120920102874141
107	14	6	305	5.669001681839886e+21	-43.377053585162955	-42.081932916906865	-51.384420653146286	-50.0892999848902	5.669001681839886e+21	94.71136012125774	-6.333581741096292
108	14	7	305	1.2498258546041124e+23	-45.75856593674667	-45.04156290354728	-53.89946439735452	-53.18246136415513	1.2498258546041124e+23	90.63704281492703	-6.546243379318442
109	14	8	305	2.1096408638899183e+24	-48.07885060684011	-48.001192890187696	-56.086217674823445	-56.00855995817103	2.1096408638899183e+24	86.56272550859632	-6.7589050175405925
110	14	9	305	2.7131152457374085e+25	-50.347987765766625	-50.96082287682812	-57.94988972564179	-58.56272483670328	2.7131152457374085e+25	82.4884082022656	-6.971566655762743
111	14	10	305	2.6169125972986695e+26	-52.68796039083229	-53.92045286346853	-59.596715170147505	-60.82920764278376	2.6169125972986695e+26	78.41409089593489	-7.1842282939848925
112	14	11	305	1.8357244640816472e+27	-55.16094611498573	-56.880082850108955	-61.058099982622466	-62.777236717745694	1.8357244640816472e+27	74.33977358960419	-7.396889932207044
113	14	12	305	8.853163319862815e+27	-57.67874063161856	-59.83971283674937	-62.18960013813541	-64.35057234326622	8.853163319862815e+27	70.26545628327347	-7.609551570429193
114	14	13	305	2.627459866302371e+28	-60.91453141212575	-62.799342823389786	-63.553588741741	-65.43840015300505	2.627459866302371e+28	66.19113897694277	-7.822213208651344
115	15	1	305	166197894083080.34	-32.93928881332975	-30.036150126187145	-35.647339014431964	-32.744200327289356	166197894083080.34	119.67895246619203	-5.521103217695164
116	15	2	305	2.244267023656181e+16	-35.85096278387685	-32.99578011282756	-40.50492313403438	-37.649740462985086	2.244267023656181e+16	115.60463515986132	-5.733764855917315
117	15	3	305	1.8760637737192737e+18	-38.89011721888112	-35.955410099467976	-45.01041463783207	-42.07570751841892	1.8760637737192737e+18	111.5303178535306	-5.946426494139464
118	15	4	305	1.085724964428625e+20	-41.42055618748956	-38.9150400861084	-48.63946589510862	-46.13394979372746	1.085724964428625e+20	107.45600054719989	-6.159088132361615
119	15	5	305	4.6077984710552663e+21	-43.88787920892894	-41.87467007274881	-51.895246276912275	-49.882037140732145	4.6077984710552663e+21	103.3816832408692	-6.371749770583765
120	15	6	305	1.481471146948487e+23	-46.292863916697804	-44.834300059389236	-54.811056608447124	-53.352492751138556	1.481471146948487e+23	99.30736593453848	-6.584411408805916
121	15	7	305	3.6744186666363144e+24	-48.68195150671528	-47.79393004602965	-57.451458626745506	-56.56343716605988	3.6744186666363144e+24	95.23304862820777	-6.797073047028066
122	15	8	305	7.088259528655908e+25	-51.089673126117695	-50.753560032670066	-59.85918024614792	-59.52306715270029	7.088259528655908e+25	91.15873132187706	-7.0097346852502165
123	15	9	305	1.0635211049015418e+27	-53.48318616746495	-53.71319001931049	-62.00137885921427	-62.23138271105981	1.0635211049015418e+27	87.08441401554634	-7.222396323472367
124	15	10	305	1.2309724540964247e+28	-55.937382793767576	-56.6728200059509	-63.94474986175091	-64.68018707393423	1.2309724540964247e+28	83.01009670921563	-7.4350579616945165
125	15	11	305	1.0793856140476611e+29	-58.41349381301097	-59.632449992591326	-65.63240352063004	-66.85135970021038	1.0793856140476611e+29	78.93577940288492	-7.647719599916668
126	15	12	305	6.94074905266712e+29	-60.722328926350194	-62.59207997923174	-66.84262634530114	-68.7123773981827	6.94074905266712e+29	74.86146209655422	-7.860381238138817
127	15	13	305	3.089834489505651e+30	-63.08799119285947	-65.55170996587216	-67.741951543017	-70.20567031602968	3.089834489505651e+30	70.7871447902235	-8.073042876360969
128	15	14	305	8.515068543290516e+30	-65.93718002644111	-68.51133995251257	-68.64523022754332	-71.21939015361478	8.515068543290516e+30	66.7128274838928	-8.285704514583118
129	16	2	305	4.226276642365648e+17	-38.87606713574318	-35.797776217157086	-43.66355887852522	-40.58526795993913	4.226276642365648e+17	120.20336397552961	-5.92402353169913
130	16	3	305	3.804658437917462e+19	-41.59863945209028	-38.7574062037975	-47.926576235819475	-45.085342987526694	3.804658437917462e+19	116.1290466691989	-6.1366851699212805
131	16	4	305	2.3853384395155817e+21	-44.13982145941191	-41.71703619043792	-51.646413239482754	-49.223627970508765	2.3853384395155817e+21	112.05472936286819	-6.34934680814343
132	16	5	305	1.1043639469713603e+23	-46.68518263612729	-44.67666617707834	-55.06724315355203	-53.05872669450308	1.1043639469713603e+23	107.98041205653749	-6.562008446365581
133	16	6	305	3.9057516659857047e+24	-49.11875529468144	-47.63629616371876	-58.1069516156765	-56.62449248471382	3.9057516659857047e+24	103.90609475020678	-6.774670084587731
134	16	7	305	1.076360020638526e+26	-51.60753042124737	-50.595926150359176	-60.952401686181155	-59.94079741529296	1.076360020638526e+26	99.83177744387606	-6.9873317228098815
135	16	8	305	2.3359366059889154e+27	-54.03421821170898	-53.55555613699959	-63.496872512299156	-63.018210437589765	2.3359366059889154e+27	95.75746013754535	-7.199993361032032
136	16	9	305	4.005525507375562e+28	-56.5062774335986	-56.515186123640014	-65.85114869853238	-65.86005738857381	4.005525507375562e+28	91.68314283121464	-7.4126549992541815
137	16	10	305	5.408894533960157e+29	-58.96542637217391	-59.47481611028043	-67.95362269316897	-68.46301243127549	5.408894533960157e+29	87.60882552488393	-7.625316637476333
138	16	11	305	5.691386118442283e+30	-61.54136053997424	-62.43444609692085	-69.92342105739898	-70.8165066143456	5.691386118442283e+30	83.53450821855321	-7.837978275698482
139	16	12	305	4.574649029021176e+31	-64.05586765953854	-65.39407608356127	-71.56245943960937	-72.90066786363211	4.574649029021176e+31	79.46019091222252	-8.050639913920634
140	16	13	305	2.7153473378730186e+32	-66.73674648400713	-68.35370607020168	-73.06468326773633	-74.68164285393088	2.7153473378730186e+32	75.38587360589179	-8.263301552142783
141	16	14	305	1.1224566613208617e+33	-69.5475564190671	-71.3133360568421	-74.33504816184916	-76.10082779962416	1.1224566613208617e+33	71.31155629956109	-8.475963190364933
142	16	15	305	2.887083135936087e+33	-72.09492423847885	-74.27296604348253	-74.86751296071863	-77.0455547657223	2.887083135936087e+33	67.23723899323038	-8.688624828587084
143	16	16	305	3.4808898367613306e+33	-77.39629504251377	-77.23259603012293	-77.39629504251377	-77.23259603012293	3.4808898367613306e+33	63.162921686899665	-8.901286466809234
144	17	2	305	8.247763437257112e+18	-41.715660338448856	-38.643818853235224	-46.62831522418491	-43.55647373897128	8.247763437257112e+18	124.88511719843257	-6.044163707930544
145	17	3	305	7.955311176850133e+20	-44.5200416484895	-41.60344883987564	-51.04213444665965	-48.12554163804579	7.955311176850133e+20	120.81079989210185	-6.256825346152693
146	17	4	305	5.371260158147181e+22	-47.13904642370269	-44.56307882651606	-54.913902190368205	-52.33793459318158	5.371260158147181e+22	116.73648258577114	-6.469486984374844
147	17	5	305	2.694018090281961e+24	-49.61358498995918	-47.52270881315648	-58.34395220165214	-56.253076024849435	2.694018090281961e+24	112.66216527944044	-6.682148622596994
148	17	6	305	1.0393970383507604e+26	-52.16288680198551	-50.4823387997969	-61.586401194238405	-59.905853192049804	1.0393970383507604e+26	108.58784797310973	-6.894810260819145
149	17	7	305	3.1508453805020604e+27	-54.63610380099061	-53.441968786437315	-64.51160331698657	-63.31746830243327	3.1508453805020604e+27	104.51353066677902	-7.107471899041295
150	17	8	305	7.5978038357665625e+28	-57.121010450778606	-56.40159877307773	-67.21965351808878	-66.5002418403879	7.5978038357665625e+28	100.4392133604483	-7.3201335372634455
151	17	9	305	1.4656796168802185e+30	-59.615486551582755	-59.361228759718145	-69.71412961889293	-69.45987182702831	1.4656796168802185e+30	96.3648960541176	-7.532795175485596
152	17	10	305	2.261934407124832e+31	-62.086853986672125	-62.32085874635857	-71.96235350266808	-72.19635826235452	2.261934407124832e+31	92.29057874778688	-7.7454568137077455
153	17	11	305	2.7767471409966918e+32	-64.58129208272568	-65.28048873299898	-74.00480647497858	-74.70400312525187	2.7767471409966918e+32	88.21626144145617	-7.958118451929897
154	17	12	305	2.678288209173555e+33	-67.2213840735817	-68.24011871963941	-75.95175128527467	-76.97048593133238	2.678288209173555e+33	84.14194413512547	-8.170780090152046
155	17	13	305	1.987169592874775e+34	-69.81185804287482	-71.19974870627982	-77.58671380954034	-78.97460447294534	1.987169592874775e+34	80.06762682879474	-8.383441728374198
156	17	14	305	1.0952615972112251e+35	-72.4539350023638	-74.15937869292024	-78.97602780053396	-80.68147149109039	1.0952615972112251e+35	75.99330952246405	-8.596103366596347
157	17	15	305	4.2257016182155665e+35	-75.79115205436256	-77.11900867956065	-80.7038069400986	-82.0316635652967	4.2257016182155665e+35	71.91899221613333	-8.808765004818497
158	17	16	305	1.0189662800453788e+36	-79.08168386813718	-80.07863866620107	-81.9148972121934	-82.91185201025729	1.0189662800453788e+36	67.84467490980262	-9.021426643040648
159	17	17	305	1.1562769354018581e+36	-85.23486915393298	-83.0382686528415	-85.23486915393298	-83.0382686528415	1.1562769354018581e+36	63.77035760347191	-9.234088281262798
160	18	3	305	1.7092792807622326e+22	-44.930783813698504	-44.488529499336195	-51.63519816866261	-51.1929438543003	1.7092792807622326e+22	125.65504622628178	-6.296774459547741
161	18	4	305	1.2365032657079072e+24	-49.0716483915555	-47.44815948597662	-57.09781858650192	-55.47432968092304	1.2365032657079072e+24	121.58072891995107	-6.509436097769892
162	18	5	305	6.678889691548604e+25	-51.789748928511216	-50.40778947261703	-60.8455385406388	-59.463579084744616	6.678889691548604e+25	117.50641161362037	-6.722097735992042
163	18	6	305	2.791562427043256e+27	-54.37943755763775	-53.367419459257455	-64.20841705799882	-63.19639895961852	2.791562427043256e+27	113.43209430728966	-6.934759374214193
164	18	7	305	9.231696580466685e+28	-56.95511310424327	-56.32704944589787	-67.32308910533702	-66.69502544699162	9.231696580466685e+28	109.35777700095895	-7.147421012436343
165	18	8	305	2.4486978045992982e+30	-59.49968567713036	-59.286679432538286	-70.18611540934265	-69.97310916475057	2.4486978045992982e+30	105.28345969462823	-7.3600826506584935
166	18	9	305	5.248602151183279e+31	-62.028182762993225	-62.2463094191787	-72.81997301086334	-73.03809966704881	5.248602151183279e+31	101.20914238829752	-7.572744288880644
167	18	10	305	9.112491478788358e+32	-64.58348554708395	-65.20593940581912	-75.26991527929624	-75.89236913803141	9.112491478788358e+32	97.13482508196681	-7.7854059271027936
168	18	11	305	1.2784548902103016e+34	-67.17336920341674	-68.16556939245953	-77.54134520451049	-78.53354539355328	1.2784548902103016e+34	93.0605077756361	-7.998067565324945
169	18	12	305	1.4386434553219853e+35	-69.71737465104648	-71.12519937909997	-79.54635415140756	-80.95417887946104	1.4386434553219853e+35	88.9861904693054	-8.210729203547094
170	18	13	305	1.2808906164521976e+36	-72.38910397082009	-74.08482936574038	-81.44489358294767	-83.14061897786796	1.2808906164521976e+36	84.91187316297467	-8.423390841769244
