Temperature=300.0
	x	y	K	H
903	25	10.0	1.6413420411966052e+42	166.67124873497647
904	25	11.0	4.358918377113669e+43	163.6602396197565
905	25	12.0	9.903907957238265e+44	160.64923050453655
906	25	13.0	1.9288020757059877e+46	157.63822138931658
907	25	14.0	3.2197484611794347e+47	154.62721227409665
908	25	15.0	4.59837557469684e+48	151.6162031588767
909	25	16.0	5.597131702736509e+49	148.60519404365672
910	25	17.0	5.77085528113531e+50	145.59418492843676
911	25	18.0	4.995037286925051e+51	142.5831758132168
912	25	19.0	3.5839689854027804e+52	139.57216669799686
913	25	20.0	2.093951250806564e+53	136.5611575827769
914	25	21.0	9.70953307479635e+53	133.55014846755694
915	25	22.0	3.4380859151143266e+54	130.53913935233697
916	25	23.0	8.73355808657429e+54	127.52813023711701
917	26	8.0	3.7602450735466155e+40	176.63438669366303
918	26	9.0	1.464627606463014e+42	173.62337757844307
919	26	10.0	4.84905607509183e+43	170.6123684632231
920	26	11.0	1.3736167343945987e+45	167.60135934800314
921	26	12.0	3.343925978467472e+46	164.59035023278318
922	26	13.0	7.013299858362423e+47	161.57934111756322
923	26	14.0	1.2682906584230108e+49	158.56833200234328
924	26	15.0	1.9760132385131512e+50	155.55732288712332
925	26	16.0	2.6457184235853115e+51	152.54631377190336
926	26	17.0	3.0309290440632615e+52	149.5353046566834
927	26	18.0	2.9513916409300742e+53	146.52429554146343
928	26	19.0	2.420161222833498e+54	143.5132864262435
929	26	20.0	1.6496560787971346e+55	140.50227731102353
930	26	21.0	9.179233902193079e+55	137.49126819580357
931	26	22.0	4.062887801550107e+56	134.4802590805836
932	26	23.0	1.3760938495101673e+57	131.46924996536364
933	26	24.0	3.3499562556031816e+57	128.45824085014368
934	27	8.0	9.711133036875641e+41	180.5205753681083
935	27	9.0	3.9926575690824736e+43	177.50956625288833
936	27	10.0	1.399637722012778e+45	174.49855713766837
937	27	11.0	4.2126263910515447e+46	171.48754802244844
938	27	12.0	1.0938877275941976e+48	168.47653890722847
939	27	13.0	2.4581123338260323e+49	165.4655297920085
940	27	14.0	4.7872134840844276e+50	162.45452067678855
941	27	15.0	8.080085523318898e+51	159.44351156156858
942	27	16.0	1.1802072825608184e+53	156.43250244634862
943	27	17.0	1.4872470738852058e+54	153.42149333112866
944	27	18.0	1.609132058208791e+55	150.4104842159087
945	27	19.0	1.4844366383467789e+56	147.39947510068873
946	27	20.0	1.1563857344634252e+57	144.38846598546877
947	27	21.0	7.506933002541922e+57	141.3774568702488
948	27	22.0	3.9872381745226936e+58	138.36644775502887
949	27	23.0	1.6880892964849306e+59	135.3554386398089
950	27	24.0	5.479301963587534e+59	132.34442952458895
951	27	25.0	1.2805234919087376e+60	129.33342040936898
952	28	9.0	1.0649055853916494e+45	181.35704116336666
953	28	10.0	3.9404495816855897e+46	178.3460320481467
954	28	11.0	1.2557600547301198e+48	175.33502293292673
955	28	12.0	3.4646184095855397e+49	172.32401381770677
956	28	13.0	8.304492711412755e+50	169.3130047024868
957	28	14.0	1.7328357562724612e+52	166.30199558726687
958	28	15.0	3.1497439227568813e+53	163.2909864720469
959	28	16.0	4.9840189568996774e+54	160.27997735682695
960	28	17.0	6.851617017728475e+55	157.26896824160698
961	28	18.0	8.154443512532127e+56	154.25795912638702
962	28	19.0	8.3583739400801e+57	151.2469500111671
963	28	20.0	7.325130729851947e+58	148.23594089594712
964	28	21.0	5.434594454579234e+59	145.22493178072716
965	28	22.0	3.367623796453084e+60	142.2139226655072
966	28	23.0	1.710913500489092e+61	139.20291355028724
967	28	24.0	6.941732675427206e+61	136.19190443506727
968	28	25.0	2.163061846078543e+62	133.1808953198473
969	28	26.0	4.860689875704301e+62	130.16988620462735
970	29	9.0	2.7726855446823657e+46	185.18167806941935
971	29	10.0	1.0799699789121706e+48	182.17066895419939
972	29	11.0	3.63290187840057e+49	179.15965983897945
973	29	12.0	1.0612702653563132e+51	176.1486507237595
974	29	13.0	2.7027920611837025e+52	173.13764160853952
975	29	14.0	6.015692807118044e+53	170.12663249331956
976	29	15.0	1.1715658933097134e+55	167.1156233780996
977	29	16.0	1.996438067199276e+56	164.10461426287964
978	29	17.0	2.973249416561883e+57	161.09360514765967
979	29	18.0	3.860300850275303e+58	158.0825960324397
980	29	19.0	4.352525316539984e+59	155.07158691721975
981	29	20.0	4.238306687295821e+60	152.06057780199978
982	29	21.0	3.537501749481563e+61	149.04956868677982
983	29	22.0	2.505215203634248e+62	146.0385595715599
984	29	23.0	1.4848969386218514e+63	143.02755045633992
985	29	24.0	7.229651945952397e+63	140.01654134111996
986	29	25.0	2.815972793808891e+64	137.0055322259
987	29	26.0	8.437157710147092e+64	133.99452311068003
988	29	27.0	1.825722328179806e+65	130.9835139954601
989	30	9.0	7.030474526111092e+47	188.9990861386187
990	30	10.0	2.875312172446654e+49	185.98807702339874
991	30	11.0	1.0181303473084741e+51	182.9770679081788
992	30	12.0	3.1394733925931016e+52	179.96605879295885
993	30	13.0	8.465780982870346e+53	176.95504967773888
994	30	14.0	2.002022636248347e+55	173.94404056251892
995	30	15.0	4.158902857960135e+56	170.93303144729896
996	30	16.0	7.593309851520241e+57	167.922022332079
997	30	17.0	1.217843003629195e+59	164.91101321685903
998	30	18.0	1.7129442238883885e+60	161.90000410163907
999	30	19.0	2.1069388742109258e+61	158.8889949864191
1000	30	20.0	2.2568136238044445e+62	155.87798587119914
1001	30	21.0	2.0929433305135286e+63	152.86697675597918
1002	30	22.0	1.6674712978743828e+64	149.85596764075925
1003	30	23.0	1.1295399279124366e+65	146.84495852553928
1004	30	24.0	6.416075338096743e+65	143.83394941031932
1005	30	25.0	2.9988984914091617e+66	140.82294029509936
1006	30	26.0	1.123154473667631e+67	137.8119311798794
1007	30	27.0	3.240535531065202e+67	134.80092206465946
1008	30	28.0	6.761780680455327e+67	131.7899129494395
1009	30	29.0	9.081846289950129e+67	128.77890383421953
1010	31	10.0	7.419187517946573e+50	189.8136629955728
1011	31	11.0	2.7584430791959425e+52	186.80265388035286
1012	31	12.0	8.9535207715346e+53	183.7916447651329
1013	31	13.0	2.548503083118298e+55	180.78063564991294
1014	31	14.0	6.38132262262658e+56	177.76962653469297
1015	31	15.0	1.408475942682107e+58	174.758617419473
1016	31	16.0	2.7430296541090926e+59	171.74760830425305
1017	31	17.0	4.713612854594493e+60	168.7365991890331
1018	31	18.0	7.139873369055258e+61	165.72559007381312
1019	31	19.0	9.513960190559709e+62	162.71458095859316
1020	31	20.0	1.1117154708808124e+64	159.7035718433732
1021	31	21.0	1.1340915356205042e+65	156.69256272815323
1022	31	22.0	1.003937085602056e+66	153.6815536129333
1023	31	23.0	7.65071880300579e+66	150.67054449771334
1024	31	24.0	4.9666328253436895e+67	147.65953538249337
1025	31	25.0	2.7083273475108225e+68	144.6485262672734
1026	31	26.0	1.2171949074877215e+69	141.63751715205345
1027	31	27.0	4.389827310513911e+69	138.6265080368335
1028	31	28.0	1.221322801502516e+70	135.61549892161355
1029	31	29.0	2.4605647116856394e+70	132.6044898063936
1030	32	11.0	7.2086707448741715e+53	190.6516773032431
1031	32	12.0	2.4568254796690684e+55	187.64066818802314
1032	32	13.0	7.361088176650603e+56	184.62965907280318
1033	32	14.0	1.945578034893921e+58	181.61864995758324
1034	32	15.0	4.546853587517943e+59	178.60764084236328
1035	32	16.0	9.40851274831518e+60	175.59663172714332
1036	32	17.0	1.7245393490764115e+62	172.58562261192336
1037	32	18.0	2.7988068703932047e+63	169.5746134967034
1038	32	19.0	4.016321177773076e+64	166.56360438148346
1039	32	20.0	5.084202748647069e+65	163.5525952662635
1040	32	21.0	5.65803828274741e+66	160.54158615104353
1041	32	22.0	5.50956048425866e+67	157.53057703582357
1042	32	23.0	4.665199155265792e+68	154.5195679206036
1043	32	24.0	3.4070815226839975e+69	151.50855880538364
1044	32	25.0	2.123310819583933e+70	148.49754969016368
1045	32	26.0	1.1133182646788213e+71	145.48654057494372
1046	32	27.0	4.818234016770628e+71	142.47553145972375
1047	32	28.0	1.6756408200736825e+72	139.4645223445038
1048	32	29.0	4.501155267890434e+72	136.45351322928383
1049	33	12.0	6.472024347272606e+56	191.52828920613786
1050	33	13.0	2.0360908583350598e+58	188.5172800909179
1051	33	14.0	5.664742631810489e+59	185.50627097569796
1052	33	15.0	1.3974091875738041e+61	182.495261860478
1053	33	16.0	3.0616615909552715e+62	179.48425274525803
1054	33	17.0	5.9626354134561544e+63	176.47324363003807
1055	33	18.0	1.0322070045982341e+65	173.4622345148181
1056	33	19.0	1.5870314353289829e+66	170.45122539959817
1057	33	20.0	2.163538552582387e+67	167.4402162843782
1058	33	21.0	2.608373415077874e+68	164.42920716915825
1059	33	22.0	2.7708269277178935e+69	161.41819805393828
1060	33	23.0	2.580805751649401e+70	158.40718893871832
1061	33	24.0	2.094233707318725e+71	155.39617982349836
1062	33	25.0	1.4682794328127362e+72	152.3851707082784
1063	33	26.0	8.79845513027885e+72	149.37416159305843
1064	33	27.0	4.442442022808712e+73	146.36315247783847
1065	33	28.0	1.8539416313078303e+74	143.3521433626185
1066	33	29.0	6.225140137547161e+74	140.34113424739854
1067	33	30.0	1.6164747990664008e+75	137.3301251321786
1068	34	13.0	5.381571221336488e+59	192.4586009861021
1069	34	14.0	1.572104534960968e+61	189.44759187088218
1070	34	15.0	4.082265308269346e+62	186.43658275566222
1071	34	16.0	9.440954699978869e+63	183.42557364044225
1072	34	17.0	1.9467965444763797e+65	180.4145645252223
1073	34	18.0	3.580783405398725e+66	177.40355541000233
1074	34	19.0	5.872533502453607e+67	174.3925462947824
1075	34	20.0	8.577640405755393e+68	171.38153717956243
1076	34	21.0	1.1136728848662389e+70	168.37052806434247
1077	34	22.0	1.2816203258720132e+71	165.3595189491225
1078	34	23.0	1.3022484995771462e+72	162.34850983390254
1079	34	24.0	1.162402079859941e+73	159.33750071868258
1080	34	25.0	9.05518732249586e+73	156.3264916034626
1081	34	26.0	6.104465864559924e+74	153.31548248824265
1082	34	27.0	3.5225321175430035e+75	150.3044733730227
1083	34	28.0	1.7150470524850845e+76	147.29346425780273
1084	34	29.0	6.910514158965306e+76	144.28245514258276
1085	34	30.0	2.243056328801096e+77	141.27144602736283
1086	34	31.0	5.636630244893747e+77	138.26043691214286
1087	35	13.0	1.355959382681188e+61	196.4687024459683
1088	35	14.0	4.149754407912054e+62	193.45769333074833
1089	35	15.0	1.1314399255620693e+64	190.44668421552836
1090	35	16.0	2.7543719186195023e+65	187.4356751003084
1091	35	17.0	5.9952642603848076e+66	184.42466598508844
1092	35	18.0	1.1675874008284777e+68	181.41365686986848
1093	35	19.0	2.0345379241451212e+69	178.4026477546485
1094	35	20.0	3.1698363822743416e+70	175.39163863942855
1095	35	21.0	4.4095054051801936e+71	172.3806295242086
1096	35	22.0	5.4648255567850105e+72	169.36962040898865
1097	35	23.0	6.01551603566876e+73	166.3586112937687
1098	35	24.0	5.857657333921664e+74	163.34760217854873
1099	35	25.0	5.019468210143893e+75	160.33659306332876
1100	35	26.0	3.7598059366166364e+76	157.3255839481088
1101	35	27.0	2.4407609353497406e+77	154.31457483288887
1102	35	28.0	1.3581203872050225e+78	151.3035657176689
1103	35	29.0	6.3843895771767376e+78	148.29255660244894
1104	35	30.0	2.4867403699111088e+79	145.28154748722898
1105	35	31.0	7.811237172391555e+79	142.270538372009
1106	35	32.0	1.9015638242236849e+80	139.25952925678905
1107	35	33.0	3.3666602453441904e+80	136.2485201415691
1108	36	15.0	2.9688719824294875e+65	194.54065712992968
1109	36	16.0	7.588778074128375e+66	191.52964801470972
1110	36	17.0	1.73873740068355e+68	188.51863889948976
1111	36	18.0	3.5743424671069354e+69	185.5076297842698
1112	36	19.0	6.594716560527194e+70	182.49662066904983
1113	36	20.0	1.0916819490572864e+72	179.48561155382987
1114	36	21.0	1.6198615110944435e+73	176.4746024386099
1115	36	22.0	2.1509362253162143e+74	173.46359332338997
1116	36	23.0	2.549815769527082e+75	170.45258420817
1117	36	24.0	2.689812345295269e+76	167.44157509295005
1118	36	25.0	2.514457439919132e+77	164.43056597773008
1119	36	26.0	2.07178505283886e+78	161.41955686251012
1120	36	27.0	1.49438328249961e+79	158.40854774729019
1121	36	28.0	9.35465009897247e+79	155.39753863207022
1122	36	29.0	5.02574681493021e+80	152.38652951685026
1123	36	30.0	2.2838020612082116e+81	149.3755204016303
1124	36	31.0	8.608531765074329e+81	146.36451128641033
1125	36	32.0	2.6195710459931024e+82	143.35350217119037
1126	36	33.0	6.183826587396949e+82	140.3424930559704
1127	37	15.0	7.358005110678026e+66	198.73363057541678
1128	37	16.0	1.9703521517703845e+68	195.72262146019682
1129	37	17.0	4.740185037172296e+69	192.71161234497686
1130	37	18.0	1.0257318826292658e+71	189.7006032297569
1131	37	19.0	1.9976294134348988e+72	186.68959411453693
1132	37	20.0	3.501374001237349e+73	183.67858499931697
1133	37	21.0	5.52012863915106e+74	180.667575884097
1134	37	22.0	7.818574334186443e+75	177.65656676887707
1135	37	23.0	9.930521631473794e+76	174.6455576536571
1136	37	24.0	1.1281579935273368e+78	171.63454853843714
1137	37	25.0	1.1424950780017866e+79	168.62353942321718
1138	37	26.0	1.0269358259455589e+80	165.61253030799722
1139	37	27.0	8.148042680533918e+80	162.60152119277728
1140	37	28.0	5.667301700864985e+81	159.59051207755732
1141	37	29.0	3.425326021540594e+82	156.57950296233736
1142	37	30.0	1.778900737996326e+83	153.5684938471174
1143	37	31.0	7.822924352806532e+83	150.55748473189743
1144	37	32.0	2.8566134187129326e+84	147.54647561667747
1145	37	33.0	8.429243613935976e+84	144.5354665014575
1146	37	34.0	1.9313044851040747e+85	141.52445738623754
1147	38	15.0	1.71801978774938e+68	203.04079653507048
1148	38	16.0	4.80968998434244e+69	200.02978741985052
1149	38	17.0	1.2121933936871073e+71	197.01877830463056
